Lag,response
0,0.0245017,
1,0.378483,
2,0.673573,
3,0.578239,
4,0.485693,
5,0.409384,
6,0.332607,
7,0.273843,
8,0.255365,
9,0.255716,
10,0.209723,
11,0.154143,
12,0.114938,
13,0.0842647,
14,0.0793517,
15,0.094811,
16,0.0991281,
17,0.0424484,
18,0.00864857,
19,-0.0117042,
20,-0.0338774,
21,-0.0273429,
22,-0.0191026,
23,-0.0349832,
24,-0.0277297,
25,-0.018588,
26,-0.0279832,
27,-0.0312326,
28,-0.0274661,
29,-1.34939e-005,
30,0.00775492,
31,-0.00692527,
32,-0.0150299,
33,-0.00552777,
34,0.0227455,
35,0.0430082,
36,0.0387428,
37,0.0314608,
38,0.00168415,
39,-0.0257463,
40,-0.0349326,
41,-0.0303576,
42,-0.0337326,
43,-0.0462265,
44,-0.0467755,
45,-0.0383593,
46,-0.0431617,
47,-0.0463032,
48,-0.0524949,
49,-0.0579596,
