,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10
y1,0.416975,0.0751346,0.0753962,0.0756581,0.0737355,0.0720458,0.0721106,0.0688629,0.063609,0.0628906
y2,0.237973,0.0746407,0.0710961,0.0715457,0.0702385,0.0695852,0.0699989,0.0659153,0.0613539,0.0603711
y3,0.193092,0.0739382,0.0712645,0.0713697,0.0699756,0.069197,0.0695172,0.0658955,0.061306,0.0602866
y4,0.186009,0.0732347,0.0693468,0.0691567,0.0691338,0.0681227,0.0683284,0.0655385,0.061316,0.0601747
y5,0.16928,0.0674188,0.0659211,0.0659274,0.0650927,0.0630717,0.0629277,0.0612131,0.0585276,0.0563907
y6,0.164657,0.0670057,0.0656412,0.065476,0.0649212,0.0620174,0.0632409,0.0618713,0.0596048,0.0573886
y7,0.165511,0.0664062,0.0643458,0.0642466,0.0641315,0.0600896,0.0613546,0.0617528,0.0591354,0.0572019
y8,0.159302,0.0600034,0.0590428,0.0590454,0.0590635,0.0571395,0.0582754,0.0582321,0.0593267,0.0577995
y9,0.157612,0.060283,0.0593395,0.0592827,0.0591337,0.0570167,0.0577289,0.0573226,0.0583655,0.0583351
y10,0.15793,0.0598131,0.0586825,0.0583728,0.0582961,0.0552001,0.0559493,0.0559625,0.0565814,0.057095
